DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,Yolo Alfalfa,Yolo,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,286989300,358200,100,0.124813016,
TNC,Yolo Rice,Yolo,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,98002800,3064500,100,3.126951475,
TNC,Yolo Row Crop,Yolo,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,72916200,20700,100,0.028388753,
TNC,Yolo Wetland,Yolo,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,16419600,923850,100,5.626507345,
TNC,Yolo Suitable-unassigned,Yolo,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,175661100,663750,100,0.377858274,
TNC,Yolo Vineyard/Orchard,Yolo,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,197953200,296100,100,0.14958081,
TNC,American Unsuitable,American,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,519906600,21657850.71,98.5341175,4.165719519,
TNC,American Grass/Pasture,American,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,491825700,3948371.25,96.00433578,0.802798888,
TNC,American Corn,American,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,6228000,72136.60714,100,1.158262799,
TNC,American Field Crop,American,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,254133900,10112759.46,99.99787518,3.979303613,
TNC,American Grains,American,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,27476100,930787.5,100,3.387625973,
TNC,American Alfalfa,American,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,29192400,244483.9286,100,0.837491705,
TNC,American Rice,American,Rice,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,406053900,124374476.8,100,30.63004118,
TNC,American Row Crop,American,Row Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,130500,13714.28571,100,10.5090312,
TNC,American Wetland,American,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,2012400,141747.3214,100,7.043695161,
TNC,American Suitable-unassigned,American,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,80585100,3002155.714,99.99553287,3.72544765,
TNC,American Vineyard/Orchard,American,Vineyard/Orchard,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,255416400,2985088.929,99.78762307,1.168714667,
TNC,Butte Unsuitable,Butte,Unsuitable,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,217285200,33386441.79,87.54877359,15.3652627,
TNC,Butte Grass/Pasture,Butte,Grass/Pasture,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,218859300,818199.1071,92.33704691,0.373847082,
TNC,Butte Corn,Butte,Corn,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,18963000,1653782.679,98.84593732,8.721102561,
TNC,Butte Field Crop,Butte,Field Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,167234400,15035868.75,99.15845309,8.990894666,
TNC,Butte Grains,Butte,Grains,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,19316700,409007.1429,95.19648718,2.117375861,
TNC,Butte Alfalfa,Butte,Alfalfa,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,16569000,301502.6786,99.73995016,1.819679393,
TNC,Butte Rice,Butte,Rice,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,611054100,154585979.5,99.99410889,25.29824765,
TNC,Butte Row Crop,Butte,Row Crop,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,587700,54707.14286,100,9.308685189,
TNC,Butte Wetland,Butte,Wetland,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,72338400,13238453.57,100,18.30072765,
TNC,Butte Suitable-unassigned,Butte,Suitable-unassigned,L8_valley_20130425to20130503_water_cf10yr.tif,4/25/2013,5/3/2013,38929500,3826371.429,97.97060089,9.828976557,
